Date,SPY US Equity,IWM US Equity,EFA US Equity,EEM US Equity,DBC US Equity,GLD US Equity,VNQ US Equity,TLT US Equity,SHY US Equity,FDN US Equity,IBB US Equity,IEZ US Equity,IGV US Equity,IHE US Equity,IHI US Equity,ITA US Equity,ITB US Equity,IYJ US Equity,IYT US Equity,IYW US Equity,IYZ US Equity,KBE US Equity,KCE US Equity,KIE US Equity,PBJ US Equity,PBS US Equity,SMH US Equity,VNQ US Equity,XLB US Equity,XLP US Equity,XLU US Equity,XOP US Equity,XRT US Equity
20030122,61.4552,29.6222,19.7555,NA,NA,NA,NA,46.6492,60.4293,NA,16.6996,NA,25.7087,NA,NA,NA,NA,13.9265,NA,7.2353,11.6373,NA,NA,NA,NA,NA,NA,NA,12.967,12.6928,9.896,NA,NA
20030123,61.8316,29.8066,19.8942,NA,NA,NA,NA,46.421,60.3925,NA,16.8454,NA,26.7895,NA,NA,NA,NA,14.1468,NA,7.5286,11.2506,NA,NA,NA,NA,NA,NA,NA,13.1597,12.6044,10.077,NA,NA
20030124,60.2076,29.1905,19.684,NA,NA,NA,NA,46.697,60.3852,NA,16.2915,NA,25.477,NA,NA,NA,NA,13.7989,NA,7.2112,10.7793,NA,NA,NA,NA,NA,NA,NA,12.8673,12.3267,9.8184,NA,NA
20030127,59.3851,28.747,19.1595,NA,NA,NA,NA,46.5271,60.3852,NA,15.7895,NA,25.2068,NA,NA,NA,NA,13.5593,NA,7.1434,10.882,NA,NA,NA,NA,NA,NA,NA,12.4685,12.1626,9.4407,NA,NA
20030128,59.8242,28.9825,19.2412,NA,NA,NA,NA,46.5271,60.3999,NA,16.1134,NA,25.6701,NA,NA,NA,NA,13.7216,NA,7.255,10.8458,NA,NA,NA,NA,NA,NA,NA,12.5748,12.2005,9.7252,NA,NA
20030129,60.2773,29.2023,19.1942,NA,NA,NA,NA,46.2723,60.3485,NA,16.0324,NA,25.8534,NA,NA,NA,NA,13.8105,NA,7.3535,11.0271,NA,NA,NA,NA,NA,NA,NA,12.6745,12.0679,9.7201,NA,NA
20030130,58.8484,28.7274,19.182,NA,NA,NA,NA,46.6174,60.4219,NA,15.7118,NA,25.1007,NA,NA,NA,NA,13.5477,NA,7.1018,10.9062,NA,NA,NA,NA,NA,NA,NA,12.3954,11.847,9.5649,NA,NA
20030131,59.9845,29.1355,19.3371,NA,NA,NA,NA,46.7448,60.4072,NA,15.7312,NA,25.091,NA,NA,NA,NA,13.6559,NA,7.034,10.9727,NA,NA,NA,NA,NA,NA,NA,12.5283,12.1563,9.6735,NA,NA
20030203,60.103,28.8844,19.6412,NA,NA,NA,NA,46.8127,60.3717,NA,15.6276,NA,25.2068,NA,NA,NA,NA,13.7835,NA,7.0471,11.0996,NA,NA,NA,NA,NA,NA,NA,12.5615,12.2005,9.7046,NA,NA
20030204,59.5106,28.8844,19.3575,NA,NA,NA,NA,47.0205,60.4379,NA,15.3037,NA,24.6085,NA,NA,NA,NA,13.5709,NA,6.9595,11.1177,NA,NA,NA,NA,NA,NA,NA,12.5084,12.2068,9.658,NA,NA
20030205,59.1411,28.6685,19.3902,NA,NA,NA,NA,46.6156,60.4158,NA,15.2551,NA,24.6857,NA,NA,NA,NA,13.6636,NA,6.8939,11.021,NA,NA,NA,NA,NA,NA,NA,12.4751,12.1184,9.5132,NA,NA
20030206,58.8623,28.5115,19.2024,NA,NA,NA,NA,46.9938,60.4453,NA,15.2227,NA,24.4348,NA,NA,NA,NA,13.4472,NA,6.9267,10.9666,NA,NA,NA,NA,NA,NA,NA,12.3289,12.0238,9.4252,NA,NA
20030207,58.1444,27.9896,18.9248,NA,NA,NA,NA,47.1004,60.4968,NA,15.4041,NA,24.0488,NA,NA,NA,NA,13.3467,NA,6.7845,10.7854,NA,NA,NA,NA,NA,NA,NA,12.2691,11.9417,9.2597,NA,NA
20030210,58.5557,28.28,18.9901,NA,NA,NA,NA,46.7701,60.4526,NA,15.5142,NA,24.1742,NA,NA,NA,NA,13.3544,NA,6.9464,10.8518,NA,NA,NA,NA,NA,NA,NA,12.3289,12.0238,9.2907,NA,NA
20030211,58.1514,28.2015,19.082,NA,NA,NA,NA,46.7594,60.4747,NA,15.498,NA,24.4638,NA,NA,NA,NA,13.3003,NA,6.9026,10.7129,NA,NA,NA,NA,NA,NA,NA,12.1894,11.7965,9.1355,NA,NA
20030212,57.2244,27.8051,18.8799,NA,NA,NA,NA,46.9246,60.5262,NA,15.3199,NA,24.0295,NA,NA,NA,NA,13.1418,NA,6.8326,10.4712,NA,NA,NA,NA,NA,NA,NA,12.1628,11.7965,8.82,NA,NA
20030213,57.3986,27.7306,19.1575,NA,NA,NA,NA,47.1803,60.5777,NA,15.1126,NA,23.8461,NA,NA,NA,NA,13.0684,NA,6.8173,10.3624,NA,NA,NA,NA,NA,NA,NA,12.196,11.8092,8.9441,NA,NA
20030214,58.6532,27.9817,19.3391,NA,NA,NA,NA,46.7754,60.5262,NA,15.3166,NA,24.4638,NA,NA,NA,NA,13.1882,NA,7.0055,10.737,NA,NA,NA,NA,NA,NA,NA,12.2026,12.0238,9.0941,NA,NA
20030218,59.6848,28.5429,19.6228,NA,NA,NA,NA,46.834,60.5041,NA,15.5142,NA,25.5735,NA,NA,NA,NA,13.4433,NA,7.2988,10.8881,NA,NA,NA,NA,NA,NA,NA,12.4751,12.1058,9.1924,NA,NA
20030219,59.3712,28.1976,19.1636,NA,NA,NA,NA,47.1536,60.5335,NA,15.5693,NA,25.3805,NA,NA,NA,NA,13.4124,NA,7.2747,10.7249,NA,NA,NA,NA,NA,NA,NA,12.3622,12.0111,9.1976,NA,NA
20030220,58.7787,28.1387,19.184,NA,NA,NA,NA,47.3134,60.5703,NA,15.3782,NA,25.4288,NA,NA,NA,NA,13.4279,NA,7.2462,10.2597,NA,NA,NA,NA,NA,NA,NA,12.2359,11.8912,9.1924,NA,NA
20030221,59.3712,28.382,19.3065,NA,NA,NA,NA,47.0364,60.5188,NA,15.5952,NA,25.5349,NA,NA,NA,NA,13.6559,NA,7.29,10.441,NA,NA,NA,NA,NA,NA,NA,12.4353,11.9607,9.3114,NA,NA
20030224,58.4093,27.9464,19.0718,NA,NA,NA,NA,47.2602,60.5482,NA,15.1968,NA,25.091,NA,NA,NA,NA,13.2423,NA,7.2134,10.2839,NA,NA,NA,NA,NA,NA,NA,12.1295,11.7965,9.2493,NA,NA
20030225,58.8763,28.2015,18.8371,NA,NA,NA,NA,47.4786,60.585,NA,15.2907,NA,24.4541,NA,NA,NA,NA,13.2578,NA,7.2419,10.4651,NA,NA,NA,NA,NA,NA,NA,12.1029,11.8849,9.3114,NA,NA
20030226,58.019,28.0602,18.6126,NA,NA,NA,NA,47.8088,60.6144,NA,15.1223,NA,24.6085,NA,NA,NA,NA,13.3042,NA,6.9617,10.2053,NA,NA,NA,NA,NA,NA,NA,12.1561,11.8218,9.151,NA,NA
