Date,SPY US Equity,IWM US Equity,EFA US Equity,EEM US Equity,DBC US Equity,GLD US Equity,VNQ US Equity,TLT US Equity,SHY US Equity,FDN US Equity,IBB US Equity,IEZ US Equity,IGV US Equity,IHE US Equity,IHI US Equity,ITA US Equity,ITB US Equity,IYJ US Equity,IYT US Equity,IYW US Equity,IYZ US Equity,KBE US Equity,KCE US Equity,KIE US Equity,PBJ US Equity,PBS US Equity,SMH US Equity,VNQ US Equity.1,XLB US Equity,XLP US Equity,XLU US Equity,XOP US Equity,XRT US Equity
20030102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030103,0.00307515379707457,-0.0016681985745079508,0.0009887074104590887,,,,,0.002318782355420046,0.00012287541761035747,,-0.008041174689676023,,-0.007561125628298249,,,,,-0.0025938511652222607,,0.010962983014143557,-0.006926683716965032,,,,,,,,-0.00540204997080973,-0.000990222527172735,0.01019814381947115,,
20030106,0.01762478463744488,0.011700179221451501,0.012351477238614406,,,,,-0.0026597772409331366,-0.0006109810562666684,,0.01225720599186908,,0.043047808529032006,,,,,0.01818401741795017,,0.03633442666845177,0.08228845947485297,,,,,,,,0.01925877492792827,0.007391104138862348,0.04494996338784474,,
20030107,-0.002473998323916149,-0.005210829716950638,-0.015615658703398094,,,,,0.003592958238685995,0.0007326287250266628,,-0.007809202195019016,,0.016069455167506908,,,,,-0.011734579389907407,,0.021767494735754234,-0.021660209280331855,,,,,,,,-0.003389706954366578,-0.008801152827060621,-0.02174177092189966,,
20030108,-0.014450688186949279,-0.009965133427309092,-0.01358468564765336,,,,,0.004968606156892985,0.0008532777319412155,,-0.025593338803294063,,-0.022285211975833885,,,,,-0.013944169894483771,,-0.03126659417907807,-0.03391125385886684,,,,,,,,-0.025768935376513147,-0.005916928512248121,0.006914863135374594,,
20030109,0.015536989243260635,0.01471178192101541,0.01226455985499264,,,,,-0.019197952218430014,-0.0018278412398802235,,0.019192385419525504,,0.05404375769073999,,,,,0.014926990491154868,,0.03513397110452754,0.011216371060148722,,,,,,,,0.01547390233647672,0.00992286583687818,-0.004903913645590285,,
20030110,0.002694417778519753,0.0021614860135328318,-0.0012894498671623955,,,,,0.002578918664702945,0.0013426499056987673,,0.023788104111969854,,0.006975643078391158,,,,,-0.008775090753790238,,0.012683923190397461,-0.001931118133358778,,,,,,,,0.01080937206568433,0.0029507252244185267,0.0,,
20030113,-0.00032221461651849026,0.002286168840197833,0.0020852720354300747,,,,,0.001636307978267748,-0.00024394169959318646,,0.014519869924919826,,-0.0034636602813282735,,,,,0.003904645855353106,,-0.005714712583573034,0.007243711722660251,,,,,,,,-0.004374062831437597,0.0024452345096335204,-0.021208857200049613,,
20030114,0.0032247269160601277,0.0006323437368933593,0.007643051969836279,,,,,0.003502530704859508,0.00036683176862695177,,0.007630349346264609,,0.01355702667463854,,,,,0.0,,0.01123215627347851,0.011509763454516486,,,,,,,,0.004878156292013491,0.0029348676212084257,0.002015893420591386,,
20030115,-0.009964366858411289,-0.0022795127581781705,-0.009553725229072274,,,,,0.004883798890025659,0.0003650379888398003,,-0.005677964119476853,,-0.020234110146905127,,,,,-0.013733813480328094,,-0.0162586525007119,-0.027968296319548003,,,,,,,,-0.016515451707474038,-0.009743969857005985,-0.0030128971435789964,,
20030116,-0.004113124111074451,-0.0013928071689175425,0.0041750093779382436,,,,,0.0013889010021019832,0.0006087275272559367,,0.013332078733952146,,-0.027652042711234892,,,,,0.0007887239670094637,,-0.03003373445445845,-0.012198666300679784,,,,,,,,0.005434055396143389,0.014759773574313462,-0.0015207494565271373,,
